,NOM_GEO,AMBITO,GRID_NUMBER,Lat,long,X_GSR80,Y_GSR80,SQUARE_POLYGON,geometry,CENTROID,GRID_VAL
2723,Álvaro Obregón,Urbana,GRID_2723,19.36267463113565,-99.20670998476464,821188.8584998957,2792617.890100001,"POLYGON ((820788.8584998957 2792217.890100001, 821588.8584998957 2792217.890100001, 821588.8584998957 2793017.890100001, 820788.8584998957 2793017.890100001, 820788.8584998957 2792217.890100001))","POLYGON ((-99.21060162053024 19.35912209339855, -99.21045310758828 19.36274516346684, -99.2067098831965 19.36267458821419, -99.20678434280376 19.35898095157277, -99.21060162053024 19.35912209339855))",POINT (-99.2086315327591137 19.3608743938383903),SI
2724,Álvaro Obregón,Urbana,GRID_2724,19.36260400983828,-99.2028926074519,821188.8584998957,2793017.890100001,"POLYGON ((820788.8584998957 2792617.890100001, 821588.8584998957 2792617.890100001, 821588.8584998957 2793417.890100001, 820788.8584998957 2793417.890100001, 820788.8584998957 2792617.890100001))","POLYGON ((-99.20678434082474 19.3590515706987, -99.20663562474618 19.3626746385986, -99.20289250588408 19.362603966914, -99.20296706705899 19.35891023602093, -99.20678434082474 19.3590515706987))",POINT (-99.2048141717493053 19.3608037884835689),SI
2725,Álvaro Obregón,Urbana,GRID_2725,19.36253329211204,-99.1990752341029,821188.8584998957,2793417.890100001,"POLYGON ((820788.8584998957 2793017.890100001, 821588.8584998957 2793017.890100001, 821588.8584998957 2793817.890100001, 820788.8584998957 2793817.890100001, 820788.8584998957 2793017.890100001))","POLYGON ((-99.20296706507726 19.35898095157277, -99.20281814586275 19.3626040173013, -99.1990751325354 19.36253324918495, -99.19914979527766 19.35883942404337, -99.20296706507726 19.35898095157277))",POINT (-99.2009968147023784 19.3607330866997245),SI
2726,Álvaro Obregón,Urbana,GRID_2726,19.362462477957084,-99.19525786472308,821188.8584998957,2793817.890100001,"POLYGON ((820788.8584998957 2793417.890100001, 821588.8584998957 2793417.890100001, 821588.8584998957 2794217.890100001, 820788.8584998957 2794217.890100001, 820788.8584998957 2793417.890100001))","POLYGON ((-99.19914979329324 19.35891023602093, -99.19900067094341 19.36253329957512, -99.19525776315589 19.3624624350272, -99.19533252746518 19.35876851564025, -99.19914979329324 19.35891023602093))",POINT (-99.1971794616237901 19.3606622884870241),SI
2727,Álvaro Obregón,Urbana,GRID_2727,19.36239156737361,-99.19144049931782,821188.8584998957,2794217.890100001,"POLYGON ((820788.8584998957 2793817.890100001, 821588.8584998957 2793817.890100001, 821588.8584998957 2794617.890100001, 820788.8584998957 2794617.890100001, 820788.8584998957 2793817.890100001))","POLYGON ((-99.19533252547807 19.35883942404337, -99.19518319999354 19.36246248542026, -99.19144039775097 19.36239152444092, -99.19151526362697 19.35869751081172, -99.19533252547807 19.35883942404337))",POINT (-99.1933621125188694 19.3605913938456489),SI
2728,Álvaro Obregón,Urbana,GRID_2728,19.36232056036177,-99.18762313789252,821188.8584998957,2794617.890100001,"POLYGON ((820788.8584998957 2794217.890100001, 821588.8584998957 2794217.890100001, 821588.8584998957 2795017.890100001, 820788.8584998957 2795017.890100001, 820788.8584998957 2794217.890100001))","POLYGON ((-99.19151526163714 19.35876851564025, -99.19136573301854 19.36239157483686, -99.18762303632599 19.36232051742628, -99.18769800376838 19.35862640955801, -99.19151526163714 19.35876851564025))",POINT (-99.1895447673930590 19.3605204027757836),SI
2729,Benito Juárez,Urbana,GRID_2729,19.36224945692176,-99.1838057804526,821188.8584998957,2795017.890100001,"POLYGON ((820788.8584998957 2794617.890100001, 821588.8584998957 2794617.890100001, 821588.8584998957 2795417.890100001, 820788.8584998957 2795417.890100001, 820788.8584998957 2794617.890100001))","POLYGON ((-99.18769800177586 19.35869751081172, -99.18754827002385 19.36232056782509, -99.18380567888639 19.36224941398346, -99.18388074789485 19.35855521187924, -99.18769800177586 19.35869751081172))",POINT (-99.1857274262518018 19.3604493152775703),SI
2730,Álvaro Obregón,Urbana,GRID_2730,19.362178257053746,-99.17998842700348,821188.8584998957,2795417.890100001,"POLYGON ((820788.8584998957 2795017.890100001, 821588.8584998957 2795017.890100001, 821588.8584998957 2795817.890100001, 820788.8584998957 2795817.890100001, 820788.8584998957 2795017.890100001))","POLYGON ((-99.18388074589961 19.35862640955801, -99.18373081101484 19.36224946438517, -99.17998832543755 19.36217821411264, -99.18006349601177 19.35848391777564, -99.18388074589961 19.35862640955801))",POINT (-99.1819100891004410 19.3603781313512364),SI
2731,Álvaro Obregón,Urbana,GRID_2731,19.3621069607579,-99.17617107755048,821188.8584998957,2795817.890100001,"POLYGON ((820788.8584998957 2795417.890100001, 821588.8584998957 2795417.890100001, 821588.8584998957 2796217.890100001, 820788.8584998957 2796217.890100001, 820788.8584998957 2795417.890100001))","POLYGON ((-99.18006349401384 19.35855521187924, -99.1799133559969 19.36217826451722, -99.17617097598489 19.36210691781399, -99.17624624812456 19.35841252724733, -99.18006349401384 19.35855521187924))",POINT (-99.1780927559444052 19.3603068509968992),SI
2732,Benito Juárez,Urbana,GRID_2732,19.36203556803437,-99.17235373209908,821188.8584998957,2796217.890100001,"POLYGON ((820788.8584998957 2795817.890100001, 821588.8584998957 2795817.890100001, 821588.8584998957 2796617.890100001, 820788.8584998957 2796617.890100001, 820788.8584998957 2795817.890100001))","POLYGON ((-99.17624624612392 19.35848391777564, -99.17609590497548 19.36210696822146, -99.17235363053382 19.36203552508769, -99.17242900423858 19.35834104029449, -99.17624624612392 19.35848391777564))",POINT (-99.1742754267890660 19.3602354742147753),SI
